"","IE_6_6.1","IE_6_6.2","IE_6_6.3","IE_6_6.4","IE_6_6.5","IE_6_6.6","IE_6_6.7","IE_6_6.8","IE_6_6.9","IE_6_6.10","IE_6_6.11","IE_6_6.12","IE_6_6.13","IE_6_6.14","IE_6_6.15","IE_6_6.16","IE_6_6.17","IE_6_6.18"
"JUL 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2005",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2006",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2007",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2008",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2009",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2010",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2011",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2012",0,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 2013",-718000,-256000,-26000,34000,16000,-2000,-10000,-44000,-102000,-326000,-16000,-28000,-2000,-114000,-60000,-3000,32000,189000
"FEB 2013",-847000,89000,-43000,7000,-36000,25000,-2000,-33000,-32000,-431000,-29000,-38000,16000,-266000,-34000,171000,-24000,-187000
"MAR 2013",-796000,-458000,-63000,-30000,7000,-87000,3000,13000,-36000,71000,27000,-53000,17000,-175000,-18000,-335000,-13000,334000
"ABR 2013",-1624000,-170000,-57000,101000,-15000,-89000,-11000,-92000,-93000,-487000,-21000,-86000,-7000,-195000,-80000,-13000,7000,-316000
"MAY 2013",-1258000,204000,-56000,-27000,-35000,96000,-22000,-89000,-12000,-371000,-31000,-104000,-9000,-196000,-78000,-154000,-139000,-235000
"JUN 2013",-3503000,-735000,-125000,-81000,-1000,-211000,-51000,-174000,-227000,-370000,-100000,-221000,-24000,-531000,-54000,-68000,-156000,-374000
"JUL 2013",1179000,-165000,80000,53000,181000,96000,52000,94000,266000,-20000,22000,304000,12000,136000,10000,-24000,-86000,168000
"AGO 2013",-355000,145000,-40000,-27000,-54000,103000,-11000,-8000,-22000,-162000,-9000,-42000,-1000,-130000,-49000,43000,55000,-146000
"SEP 2013",-1666000,-408000,-109000,-46000,-93000,-118000,-11000,22000,-3000,-392000,86000,-79000,-14000,-210000,-76000,-8000,-31000,-176000
"OCT 2013",-1135000,-15000,-21000,-20000,-78000,-32000,24000,-51000,-32000,-328000,-61000,-84000,-1000,-158000,-98000,106000,-40000,-246000
"NOV 2013",-1390000,-186000,-72000,-36000,-63000,-45000,-11000,-14000,-44000,-580000,-57000,-137000,-27000,-54000,-73000,-105000,686000,-572000
"DIC 2013",-4069000,-216000,-189000,-144000,-144000,-158000,-104000,-378000,-292000,-748000,24000,-44000,-41000,62000,-241000,136000,-1068000,-524000
"ENE 2014",-1450000,-306000,-37000,5000,0,-7000,-18000,-76000,-71000,-413000,-39000,29000,-8000,-245000,-80000,-38000,-37000,-109000
"FEB 2014",-626000,-150000,-55000,8000,-14000,-20000,5000,-64000,-46000,-154000,-55000,-68000,-5000,-292000,-49000,219000,39000,75000
"MAR 2014",-1004000,-225000,-64000,-15000,23000,12000,-14000,-5000,11000,-451000,-41000,-73000,-6000,-141000,15000,-85000,-2000,57000
"ABR 2014",-1883000,-204000,-34000,-11000,-18000,-166000,-10000,-67000,-43000,-555000,-62000,-88000,-5000,-259000,-75000,20000,-55000,-251000
"MAY 2014",-1538000,-350000,-37000,-32000,-37000,49000,-27000,-23000,-56000,-314000,-55000,-42000,-12000,-210000,-72000,-150000,-100000,-70000
"JUN 2014",-4318000,-774000,-117000,-109000,-90000,-28000,-56000,-190000,-271000,-860000,-134000,-186000,-28000,-593000,-140000,-70000,-159000,-513000
"JUL 2014",1396000,114000,110000,105000,153000,136000,50000,76000,180000,173000,74000,224000,13000,54000,19000,-65000,-68000,48000
"AGO 2014",-557000,-42000,-44000,1000,-51000,-19000,-1000,-14000,-11000,-193000,-38000,-28000,-1000,-22000,-48000,82000,95000,-223000
"SEP 2014",-1634000,-353000,-38000,-31000,-117000,-47000,-2000,-25000,-17000,-433000,30000,-52000,-7000,-227000,-65000,-7000,56000,-299000
"OCT 2014",-1776000,-350000,-54000,-36000,-75000,35000,-32000,-75000,-124000,-502000,-43000,-32000,0,-235000,-97000,162000,-43000,-275000
"NOV 2014",-582000,202000,-61000,2000,-74000,-55000,-16000,2000,16000,-389000,-23000,-102000,-7000,-266000,-84000,-123000,691000,-295000
"DIC 2014",-4210000,561000,-160000,-155000,-160000,-270000,-77000,-208000,-163000,-1315000,-39000,-118000,-31000,-255000,-94000,-95000,-1058000,-573000
"ENE 2015",-674000,-188000,-39000,6000,14000,-2000,-23000,-26000,-1000,-106000,-36000,73000,52000,-208000,-34000,40000,-10000,-186000
"FEB 2015",-258000,16000,-29000,16000,-31000,-38000,-18000,-8000,-84000,-205000,-34000,-7000,-7000,-128000,-19000,108000,120000,90000
"MAR 2015",-1143000,-290000,-35000,-20000,-36000,58000,0,-78000,-16000,-354000,0,-51000,-18000,-140000,-80000,-103000,37000,-17000
"ABR 2015",-1780000,-22000,-84000,-3000,-51000,-131000,3000,-21000,-62000,-419000,-48000,-57000,-1000,-363000,-79000,4000,-81000,-365000
"MAY 2015",-1612000,-208000,-21000,-15000,-24000,32000,-5000,-26000,-6000,-263000,-43000,-82000,-7000,-354000,-42000,-188000,-7000,-353000
"JUN 2015",-3883000,-683000,-130000,-105000,-96000,-145000,-55000,-160000,-244000,-310000,-96000,-193000,-28000,-576000,-153000,-123000,-226000,-560000
"JUL 2015",761000,-186000,-33000,45000,317000,-33000,21000,55000,43000,-67000,0,128000,15000,233000,-5000,8000,-8000,228000
"AGO 2015",85000,157000,-30000,-12000,-48000,110000,13000,6000,-41000,-95000,-9000,14000,3000,-87000,-48000,178000,112000,-138000
"SEP 2015",-2553000,-146000,-32000,6000,-34000,84000,-17000,-20000,-33000,-1792000,-14000,-25000,-12000,-132000,-43000,-146000,4000,-201000
"OCT 2015",-1615000,-196000,-52000,-19000,-68000,-74000,-12000,-105000,3000,-499000,13000,-114000,-13000,-183000,-65000,144000,-131000,-244000
"NOV 2015",-1532000,-142000,-62000,-24000,-42000,7000,-7000,-58000,-121000,-401000,-62000,34000,-62000,-311000,-46000,-53000,10000,-192000
