"","IE_4_3.1","IE_4_3.2","IE_4_3.3","IE_4_3.4","IE_4_3.5","IE_4_3.6","IE_4_3.7","IE_4_3.8","IE_4_3.9","IE_4_3.10","IE_4_3.11","IE_4_3.12","IE_4_3.13","IE_4_3.14","IE_4_3.15","IE_4_3.16"
"NÚMERO SECUENCIAL",2365359,2365042,2364978,2365295,2364985,2364984,2365296,2364987,2364986,2365297,2364989,2364988,2365298,2364991,2364990,2365300
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Actividad Económica:Agricultura. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Agricultura. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Agricultura. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Actividad Económica:Industria. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Industria. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Industria. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Actividad Económica:Construcción. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Construcción. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Construcción. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Actividad Económica:Servicios. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Servicios. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Actividad Económica:Servicios. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Actividad Económica:Ramas no agrícolas. Tipo de Transformación:Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 2002","_","_",32.05,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2002","_","_",32.21,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2002","_","_",31.96,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2002","_","_",31.84,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2003",3.70,4.77,31.35,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2003",3.91,4.91,31.93,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2003",4.30,5.02,32.15,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2003",4.41,4.88,32.22,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2004",3.96,4.29,31.79,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2004",3.42,3.51,32.17,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2004",3.64,3.81,33.14,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2004",4.23,4.57,32.95,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2005",5.44,4.65,31.90,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 2005",6.34,6.36,33.35,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 2005",6.19,6.32,34.45,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 2005",5.51,5.35,33.77,"_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 2006",4.50,5.64,33.24,"_",7.35,"_","_",1.31,"_","_",7.38,"_","_",6.47,"_","_"
"JUN 2006",3.82,3.89,34.32,"_",-0.40,"_","_",0.58,"_","_",7.27,"_","_",4.41,"_","_"
"SEP 2006",3.44,3.63,34.55,"_",-8.05,"_","_",-1.06,"_","_",7.67,"_","_",4.76,"_","_"
"DIC 2006",3.52,3.87,33.69,"_",-8.48,"_","_",0.85,"_","_",8.10,"_","_",4.53,"_","_"
"MAR 2007",3.52,3.94,31.83,"_",7.53,"_","_",-0.73,"_","_",10.25,"_","_",3.89,"_","_"
