"","IE_8_10.1","IE_8_10.2","IE_8_10.3","IE_8_10.4","IE_8_10.5","IE_8_10.6","IE_8_10.7","IE_8_10.8","IE_8_10.9","IE_8_10.10","IE_8_10.11","IE_8_10.12","IE_8_10.13","IE_8_10.14","IE_8_10.15"
"NÚMERO SECUENCIAL",132271,132272,1745886,1745885,1745884,132276,132277,1745929,1745887,1745930,132283,586104,271104,271106,271124
"DESCRIPCIÓN DE LA SERIE","ENTIDADES DE DEPOSITO. Productos financieros. Ratios.","ENTIDADES DE DEPOSITO. Costes. Ratios.","ENTIDADES DE DEPOSITO. MARGEN DE INTERESES. RATIOS","ENTIDADES DE DEPOSITO. PRODUCTOS Y GASTOS DEL MARGEN BRUTO. RATIOS","ENTIDADES DE DEPOSITO. MARGEN BRUTO. RATIOS   ","ENTIDADES DE DEPOSITO. Gastos de explotación. Ratios.","ENTIDADES DE DEPOSITO. Gastos de explotación (De personal). Ratios.","ENTIDADES DE DEPÓSITO.PÉRDIDA DETERIORO DE ACTIVOS FINANCIEROS Y DOTACIÓN PROVISIONES (NETO). RATIOS","ENTIDADES DE DEPOSITO. RESULTADO DE LA ACTIVIDAD DE EXPLOTACIÓN. RATIOS.","ENTIDADES DE DEPÓSITO.PÉRDIDA DETERIORO DEL RESTO DE ACTIVOS Y OTROS RESULTADOS. RATIOS","ENTIDADES DE DEPOSITO. Beneficio antes de impuestos. Ratios.","ENTIDADES DE DEPOSITO. Rentabilidad s/fondos propios. Ratios.","ENTIDADES DE DEPOSITO. Rentabilidad media de operaciones activas. Ratios.","ENTIDADES DE DEPOSITO. Coste medio de operaciones pasivas. Ratios.","ENTIDADES DE DEPOSITO. Diferencia. Ratios."
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1970","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1970","_","_","_","_","_","_","_","_","_","_","_","_",4.661,2.242,2.420
"MAR 1971","_","_","_","_","_","_","_","_","_","_","_","_",4.437,2.132,2.304
"JUN 1971","_","_","_","_","_","_","_","_","_","_","_","_",4.202,2.017,2.185
"SEP 1971","_","_","_","_","_","_","_","_","_","_","_","_",3.971,1.904,2.067
"DIC 1971",5.880,2.970,10.640,1.398,3.290,2.130,1.490,0.171,4.088,0.106,1.150,"_",6.288,3.300,2.989
"MAR 1972","_","_","_","_","_","_","_","_","_","_","_","_",5.942,3.117,2.826
"JUN 1972","_","_","_","_","_","_","_","_","_","_","_","_",5.628,2.950,2.678
"SEP 1972","_","_","_","_","_","_","_","_","_","_","_","_",5.336,2.798,2.538
"DIC 1972",5.600,2.600,11.002,1.269,3.350,2.090,1.480,0.194,4.403,0.295,1.280,"_",5.988,2.884,3.104
"MAR 1973","_","_","_","_","_","_","_","_","_","_","_","_",5.653,2.723,2.930
"JUN 1973","_","_","_","_","_","_","_","_","_","_","_","_",5.337,2.573,2.764
"SEP 1973","_","_","_","_","_","_","_","_","_","_","_","_",5.029,2.426,2.603
"DIC 1973",5.920,2.840,11.295,1.318,3.430,2.130,1.490,0.128,4.654,0.349,1.360,"_",6.339,3.171,3.168
"MAR 1974","_","_","_","_","_","_","_","_","_","_","_","_",6.014,3.010,3.004
"JUN 1974","_","_","_","_","_","_","_","_","_","_","_","_",5.703,2.854,2.848
"SEP 1974","_","_","_","_","_","_","_","_","_","_","_","_",5.436,2.721,2.715
"DIC 1974",6.740,3.600,11.682,1.299,3.490,2.290,1.550,0.159,4.288,0.171,1.200,"_",7.246,4.032,3.214
"MAR 1975","_","_","_","_","_","_","_","_","_","_","_","_",6.913,3.847,3.066
"JUN 1975","_","_","_","_","_","_","_","_","_","_","_","_",6.617,3.684,2.933
"SEP 1975","_","_","_","_","_","_","_","_","_","_","_","_",6.311,3.515,2.796
"DIC 1975",7.380,4.030,12.419,1.243,3.690,2.530,1.770,0.129,4.185,0.240,1.160,"_",7.887,4.524,3.363
"MAR 1976","_","_","_","_","_","_","_","_","_","_","_","_",7.519,4.314,3.205
"JUN 1976","_","_","_","_","_","_","_","_","_","_","_","_",7.138,4.097,3.041
"SEP 1976","_","_","_","_","_","_","_","_","_","_","_","_",6.786,3.894,2.891
"DIC 1976",7.650,4.020,13.364,1.360,4.000,2.720,1.880,0.177,4.544,0.078,1.150,"_",8.218,4.529,3.689
"MAR 1977","_","_","_","_","_","_","_","_","_","_","_","_",7.792,4.284,3.508
"JUN 1977","_","_","_","_","_","_","_","_","_","_","_","_",7.407,4.064,3.344
"SEP 1977","_","_","_","_","_","_","_","_","_","_","_","_",7.025,3.846,3.179
"DIC 1977",8.520,4.600,14.657,1.407,4.290,3.090,2.180,0.283,4.235,0.702,0.980,"_",9.154,5.150,4.004
"MAR 1978","_","_","_","_","_","_","_","_","_","_","_","_",8.753,4.927,3.825
"JUN 1978","_","_","_","_","_","_","_","_","_","_","_","_",8.391,4.728,3.663
"SEP 1978","_","_","_","_","_","_","_","_","_","_","_","_",8.076,4.552,3.524
"DIC 1978",9.860,5.590,16.177,1.359,4.620,3.360,2.320,1.235,3.564,1.393,0.880,"_",10.596,6.263,4.333
"MAR 1979","_","_","_","_","_","_","_","_","_","_","_","_",10.817,6.378,4.438
"JUN 1979","_","_","_","_","_","_","_","_","_","_","_","_",11.088,6.504,4.584
"SEP 1979","_","_","_","_","_","_","_","_","_","_","_","_",11.307,6.619,4.688
"DIC 1979",10.260,6.000,15.783,1.962,4.790,3.390,2.360,1.465,3.711,1.066,0.910,"_",11.126,6.797,4.329
"MAR 1980","_","_","_","_","_","_","_","_","_","_","_","_",10.785,6.572,4.213
"JUN 1980","_","_","_","_","_","_","_","_","_","_","_","_",10.466,6.362,4.103
"SEP 1980","_","_","_","_","_","_","_","_","_","_","_","_",10.167,6.161,4.006
"DIC 1980",10.950,6.610,16.087,2.322,4.960,3.470,2.360,2.282,3.247,0.747,0.850,"_",12.016,7.554,4.462
"MAR 1981","_","_","_","_","_","_","_","_","_","_","_","_",14.108,9.010,5.098
"JUN 1981","_","_","_","_","_","_","_","_","_","_","_","_",16.140,10.471,5.669
"SEP 1981","_","_","_","_","_","_","_","_","_","_","_","_",18.201,11.951,6.250
"DIC 1981",11.980,7.580,16.418,2.374,5.040,3.450,2.300,2.577,3.364,0.424,0.860,"_",13.123,8.693,4.430
"MAR 1982","_","_","_","_","_","_","_","_","_","_","_","_",13.271,8.862,4.410
"JUN 1982","_","_","_","_","_","_","_","_","_","_","_","_",13.306,8.948,4.358
"SEP 1982","_","_","_","_","_","_","_","_","_","_","_","_",12.975,8.842,4.133
"DIC 1982",12.010,7.890,15.478,2.373,4.760,3.290,2.180,3.127,2.385,0.709,0.680,"_",13.235,9.115,4.120
"MAR 1983","_","_","_","_","_","_","_","_","_","_","_","_",13.012,8.931,4.081
"JUN 1983","_","_","_","_","_","_","_","_","_","_","_","_",12.882,8.743,4.138
"SEP 1983","_","_","_","_","_","_","_","_","_","_","_","_",13.004,8.642,4.362
"DIC 1983",11.630,7.270,16.402,2.417,5.010,3.220,2.130,4.356,2.341,0.487,0.670,"_",12.996,8.494,4.502
"MAR 1984","_","_","_","_","_","_","_","_","_","_","_","_",13.165,8.573,4.592
"JUN 1984","_","_","_","_","_","_","_","_","_","_","_","_",13.223,8.650,4.574
"SEP 1984","_","_","_","_","_","_","_","_","_","_","_","_",13.188,8.773,4.416
"DIC 1984",11.270,7.160,15.378,2.260,4.710,3.010,1.970,4.447,1.919,0.984,0.740,"_",12.827,8.638,4.189
