"","IE_6_1.1","IE_6_1.2","IE_6_1.3","IE_6_1.4","IE_6_1.5","IE_6_1.6"
"ABR 2007","_","_","_",0,"_","_"
"MAY 2007","_","_","_",0,"_","_"
"JUN 2007","_","_","_",0,"_","_"
"JUL 2007","_","_","_",0,"_","_"
"AGO 2007","_","_","_",0,"_","_"
"SEP 2007","_","_","_",0,"_","_"
"OCT 2007","_","_","_",0,"_","_"
"NOV 2007","_","_","_",0,"_","_"
"DIC 2007","_","_","_",0,"_","_"
"ENE 2008","_","_","_",0,"_","_"
"FEB 2008","_","_","_",0,"_","_"
"MAR 2008","_","_","_",0,"_","_"
"ABR 2008","_","_","_",0,"_","_"
"MAY 2008","_","_","_",0,"_","_"
"JUN 2008","_","_","_",0,"_","_"
"JUL 2008","_","_","_",0,"_","_"
"AGO 2008","_","_","_",0,"_","_"
"SEP 2008","_","_","_",0,"_","_"
"OCT 2008","_","_","_",0,"_","_"
"NOV 2008","_","_","_",0,"_","_"
"DIC 2008","_","_","_",0,"_","_"
"ENE 2009","_","_","_",0,"_","_"
"FEB 2009","_","_","_",0,"_","_"
"MAR 2009","_","_","_",0,"_","_"
"ABR 2009","_","_","_",0,"_","_"
"MAY 2009","_","_","_",0,"_","_"
"JUN 2009","_","_","_",0,"_","_"
"JUL 2009","_","_","_",0,"_","_"
"AGO 2009","_","_","_",0,"_","_"
"SEP 2009","_","_","_",0,"_","_"
"OCT 2009","_","_","_",0,"_","_"
"NOV 2009","_","_","_",0,"_","_"
"DIC 2009","_","_","_",0,"_","_"
"ENE 2010","_","_","_",0,"_","_"
"FEB 2010","_","_","_",0,"_","_"
"MAR 2010","_","_","_",0,"_","_"
"ABR 2010","_","_","_",0,"_","_"
"MAY 2010","_","_","_",0,"_","_"
"JUN 2010","_","_","_",0,"_","_"
"JUL 2010","_","_","_",0,"_","_"
"AGO 2010","_","_","_",0,"_","_"
"SEP 2010","_","_","_",0,"_","_"
"OCT 2010","_","_","_",0,"_","_"
"NOV 2010","_","_","_",0,"_","_"
"DIC 2010","_","_","_",0,"_","_"
"ENE 2011","_","_","_",0,"_","_"
"FEB 2011","_","_","_",0,"_","_"
"MAR 2011","_","_","_",0,"_","_"
"ABR 2011","_","_","_",0,"_","_"
"MAY 2011","_","_","_",0,"_","_"
"JUN 2011","_","_","_",0,"_","_"
"JUL 2011","_","_","_",0,"_","_"
"AGO 2011","_","_","_",0,"_","_"
"SEP 2011","_","_","_",0,"_","_"
"OCT 2011","_","_","_",0,"_","_"
"NOV 2011","_","_","_",0,"_","_"
"DIC 2011","_","_","_",0,"_","_"
"ENE 2012","_","_",-6770000,0,"_",0
"FEB 2012","_","_",-9367000,0,"_",0
"MAR 2012","_","_",1177000,0,"_",3774000
"ABR 2012","_","_",-4401000,0,"_",0
"MAY 2012","_","_",-10821000,0,"_",0
"JUN 2012","_","_",-6668000,0,"_",-1544000
"JUL 2012","_","_",-3492000,0,"_",0
"AGO 2012","_","_",-2633998,0,"_",0
"SEP 2012","_","_",4566998,0,"_",-4066000
"OCT 2012","_","_",2513003,0,"_",0
"NOV 2012","_","_",-3089003,0,"_",0
"DIC 2012","_","_",-5108000,0,"_",-8335000
"ENE 2013","_",-7715000,-7017000,-718000,"_",2506000
"FEB 2013","_",-5505000,-7416000,-847000,"_",899000
"MAR 2013","_",3124000,3398000,-796000,"_",-938000
"ABR 2013","_",-6061000,-6423000,-1624000,"_",1483000
"MAY 2013","_",-11012000,-8726000,-1258000,"_",-340000
"JUN 2013","_",-6949000,-6239000,-3503000,"_",-2857000
"JUL 2013","_",-4638000,-4429000,1179000,"_",-95000
"AGO 2013","_",-2539000,-2359000,-355000,"_",-2470000
"SEP 2013","_",1293000,3278000,-1666000,"_",-1444000
"OCT 2013","_",-129000,-73000,-1135000,"_",1128000
"NOV 2013","_",-2917000,-3100000,-1390000,"_",-1156000
"DIC 2013","_",-6159000,-6274000,-4069000,"_",-8257010
"ENE 2014","_",-6543000,-6284000,-1450000,"_",2402000
"FEB 2014","_",-4897000,-6712000,-626000,"_",88000
"MAR 2014","_",3602000,3396001,-1004000,"_",908000
"ABR 2014","_",-5080000,-4980000,-1883000,"_",1348000
"MAY 2014","_",-10984000,-11501000,-1538000,"_",709000
"JUN 2014","_",-232000,-403000,-4318000,"_",-6913000
"JUL 2014","_",-5565000,-5708998,1396000,"_",1159000
"AGO 2014","_",-3268000,-2804002,-557000,"_",-651000
"SEP 2014","_",2356000,2504999,-1634000,"_",956000
"OCT 2014","_",2558000,2242000,-1776000,"_",-255000
"NOV 2014","_",-5263000,-5122000,-582000,"_",-470000
"DIC 2014","_",-4893000,-4820000,-4210000,"_",-10146990
"ENE 2015","_",-7072000,-6508000,-674000,"_",1786000
"FEB 2015","_",-4467000,-6439000,-258000,"_",388000
"MAR 2015","_",2258000,2386000,-1143000,"_",558000
"ABR 2015","_",-2831000,-2661000,-1780000,"_",429000
"MAY 2015","_",-10071000,-9949000,-1612000,"_",372000
"JUN 2015","_",1665000,490000,-3883000,"_",-7878000
"JUL 2015","_",-3102000,-3183000,761000,"_",2167000
"AGO 2015","_",-1893000,-1717000,85000,"_",-1370000
"SEP 2015","_",2047000,2058000,-2553000,"_",719000
"OCT 2015","_",1598000,1513000,-1615000,"_",127000
"NOV 2015","_",-2967000,-3513000,-1532000,"_",-296000
