"","IE_8_12.1","IE_8_12.2","IE_8_12.3","IE_8_12.4","IE_8_12.5","IE_8_12.6","IE_8_12.7","IE_8_12.8","IE_8_12.9","IE_8_12.10","IE_8_12.11","IE_8_12.12"
"NÚMERO SECUENCIAL",31980,254433,586697,586698,242451,242312,603800,586715,586681,586682,586679,586680
"DESCRIPCIÓN DE LA SERIE","Indice general cotización acciones Bolsa de Madrid, Comunidad de, Comunidad de ","Indice cotizacion acciones IBEX'35. Bolsa de Madrid, Comunidad de, Comunidad de. Dato fin de mes","Indice cotización acciones DOW Jones Stoxx (amplio). UE","Indice cotización acciones Dow Jones Stoxx50. UE","Volumen contratado en Bolsa. Acciones. Miles de euros","Volumen contratado en Bolsa. Renta fija. Miles de euros ","Volumen negociado. Deuda pública anotada. Miles de euros","Volumen negociado. Mercado secundario AIAF renta fija. Miles de euros","Mercado de opciones. Renta fija. Total vencimientos. Contratos","Mercado de opciones. Renta variable. Total vencimientos. Contratos","Mercado de futuros. Renta fija. Total vencimientos. Contratos","Mercado de futuros. Renta variable. Total vencimientos. Contratos"
"DESCRIPCIÓN DE LAS UNIDADES","Base 31 de diciembre de 1985 = 100","Base 29 de diciembre de 1989 = 3000","Base enero de 1994 = 100","Base enero de 1994 = 100","Miles de Euros","Miles de Euros","Miles de Euros","Miles de Euros","Contratos","Contratos","Contratos","Contratos"
"DIC 1971","_","_","_","_",267012,"_","_","_","_","_","_","_"
"ENE 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"JUL 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"OCT 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1972","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1972","_","_","_","_",552601,"_","_","_","_","_","_","_"
"ENE 1973","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1973","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1973","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1973","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1973","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1973","_","_","_","_","_","_","_","_","_","_","_","_"
