"","IE_3_6.1","IE_3_6.2","IE_3_6.3","IE_3_6.4","IE_3_6.5","IE_3_6.6","IE_3_6.7","IE_3_6.8","IE_3_6.9","IE_3_6.10","IE_3_6.11","IE_3_6.12","IE_3_6.13","IE_3_6.14","IE_3_6.15","IE_3_6.16"
"NÚMERO SECUENCIAL",1832556,1832557,1832536,1832583,1832584,1832564,1832610,1832611,1832591,1832662,1832663,1832643,1832689,1832690,1832670,2644477
"DESCRIPCIÓN DE LA SERIE","ECI.Industria:utilización capacidad productiva instalada","ECI.Industria:utilización capacidad productiva instalada prevista","ECI.Industria:capacidad productiva instalada.","ECI.Bienes de consumo:utilización capacidad productiva instalada","ECI.Bienes de consumo:utilización capacidad productiva instalada prevista","ECI.Bienes de consumo:capacidad productiva instalada","ECI.Bienes de inversión:utlización capacidad productiva instalada","ECI.Bienes de inversión:utlización capacidad productiva instalada prevista","ECI.Bienes de inversión:capacidad productiva instalada","ECI.Bienes intermedios:utilización capacidad productiva instalada","ECI.Bienes intermedios:utilización capacidad productiva instalada prevista","ECI.Bienes intermedios:capacidad productiva instalada","ECI.Otros sectores:utilización capacidad productiva instalada","ECI.Otros sectores:utilización capacidad productiva instalada prevista","ECI.Otros sectores:capacidad productiva instalada","Encuestas de Opinión. Encuesta de coyuntura industrial. Indicadores detallados del sector industrial. Industria manufacturera y extractiva. Grado de utilización de la capacidad productiva. Saldo neto de respuestas. Nivel (Situación actual). Euro área (composición variable). Datos corregidos de efectos estacionales. "
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"JUN 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",79.9
"SEP 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.2
"DIC 1985","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.5
"MAR 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.7
"JUN 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.9
"SEP 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.1
"DIC 1986","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.2
"MAR 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.1
"JUN 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.0
"SEP 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.8
"DIC 1987","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",80.9
"MAR 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.4
"JUN 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",81.3
"SEP 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",82.3
"DIC 1988","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",83.1
"MAR 1989","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",84.3
"JUN 1989","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",84.2
"SEP 1989","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",84.7
"DIC 1989","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",85.1
"MAR 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",85.0
"JUN 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",85.0
"SEP 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",85.0
"DIC 1990","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",84.9
"MAR 1991","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_",84.3
