"","IE_4_4.1","IE_4_4.2","IE_4_4.3","IE_4_4.4","IE_4_4.5","IE_4_4.6","IE_4_4.7","IE_4_4.8","IE_4_4.9","IE_4_4.10","IE_4_4.11","IE_4_4.12","IE_4_4.13","IE_4_4.14"
"NÚMERO SECUENCIAL",2364977,2364976,2364980,2364979,2364978,2365329,2365328,2365331,2365330,2365037,2365364,2365365,2365369,2365371
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato de duración indefinida. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato de duración indefinida. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Contrato:Contrato temporal. Tipo de Transformación:Ratio de temporalidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Tipo de Jornada:Jornada a tiempo completo. Situación Profesional:Asalariados. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Tipo de Jornada:Jornada a tiempo completo. Situación Profesional:Asalariados. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Tipo de Jornada:Jornada a tiempo parcial. Situación Profesional:Asalariados. Tipo de Transformación:Variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Ocupados. Tipo de Jornada:Jornada a tiempo parcial. Situación Profesional:Asalariados. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Asalariados. Tipo de Jornada:Jornada a tiempo parcial. Tipo de Transformación:Ratio de parcialidad","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Parados. Tiempo de Búsqueda de Empleo:Búsqueda de empleo: Menos de un año. Tipo de Transformación:Tasa de paro","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Parados. Tiempo de Búsqueda de Empleo:Búsqueda de empleo: Menos de un año. Tipo de Transformación:Tasa de variación interanual","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Parados. Tiempo de Búsqueda de Empleo:Búsqueda de empleo: De un año en adelante. Tipo de Transformación:Tasa de paro","Descripción Familia:Encuesta de población activa. Metodología:Metodología del año 2005 con censo 2011. Magnitud Principal:Parados. Tiempo de Búsqueda de Empleo:Búsqueda de empleo: De un año en adelante. Tipo de Transformación:Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Personas","Porcentaje","Miles de Personas","Porcentaje","Porcentaje","Miles de Personas","Porcentaje","Miles de Personas","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 2002","_","_","_","_",32.05,"_","_","_","_",8.31,6.49,"_",4.29,"_"
"JUN 2002","_","_","_","_",32.21,"_","_","_","_",8.37,6.36,"_",4.04,"_"
"SEP 2002","_","_","_","_",31.96,"_","_","_","_",7.94,6.39,"_",4.14,"_"
"DIC 2002","_","_","_","_",31.84,"_","_","_","_",8.29,6.59,"_",4.36,"_"
"MAR 2003",528.8,5.85,105.9,2.48,31.35,563.4,4.62,71.4,6.46,8.44,6.78,8.75,4.38,6.56
"JUN 2003",491.7,5.34,175.2,4.00,31.93,582.5,4.68,84.4,7.42,8.57,6.49,6.10,4.13,6.37
"SEP 2003",441.7,4.71,249.4,5.66,32.15,629.6,4.96,61.5,5.62,7.99,6.29,2.49,4.10,3.14
"DIC 2003",405.7,4.29,271.1,6.14,32.22,571.6,4.49,105.2,9.15,8.63,6.55,3.55,4.14,-1.17
"MAR 2004",346.9,3.63,250.5,5.73,31.79,474.7,3.72,122.7,10.43,8.94,6.56,0.14,4.08,-3.65
"JUN 2004",304.7,3.14,195.2,4.29,32.17,364.0,2.79,135.9,11.13,9.20,6.44,2.48,3.92,-2.16
"SEP 2004",225.6,2.30,326.0,7.01,33.14,361.8,2.72,189.9,16.43,8.96,6.17,1.08,3.61,-9.25
