"","IE_8_5.1","IE_8_5.2","IE_8_5.3","IE_8_5.4","IE_8_5.5","IE_8_5.6","IE_8_5.7","IE_8_5.8","IE_8_5.9","IE_8_5.10","IE_8_5.11","IE_8_5.12","IE_8_5.13","IE_8_5.14","IE_8_5.15","IE_8_5.16","IE_8_5.17"
"NÚMERO SECUENCIAL",1656429,1656430,1656431,1656389,1656432,1656433,1656434,1656435,1656436,1656437,1656390,1656438,1656439,1656440,1656441,1656442,1656443
"DESCRIPCIÓN DE LA SERIE","Financiación total a los sectores no financieros, residentes en España","Financiación total a los sectores no financieros, residentes en España. Flujo efectivo","Financiación total a los sectores no financieros, residentes en España. Tasa interanual","Financiación a las administraciones públicas. Tasa de variación interanual","Financiación a las sociedades no financieras y los hogares e ISFLSH. Tasa de variación interanual","Financiación total a las sociedades no financieras, residentes en España. Tasa interanual","Financiación total a los hogares e ISFLSH, residentes en España. Tasa interanual","Financiación a las sociedades no financieras y los hogares e ISFLSH. Préstamos de entidades de crédito y titulizados fuera de balance. Tasa de variación interanual","Financiación a las sociedades no financieras. Valores distintos de acciones. Contribución a la tasa del total","Financiación a las sociedades no financieras y los hogares e ISFLSH. Préstamos del exterior. Tasa de variación interanual","Financiación a las administraciones públicas. Contribución a la tasa del total de financiación de los sectores no financieros","Financiación a las sociedades no financieras y los hogares e ISFLSH. Contribución a la tasa de variación de financiación a los sectores no financieros","Financiación a las sociedades no financieras. Contribución a la tasa del total de financiación de los sectores no financieros","Financiación a los hogares e ISFLSH. Contribución a la tasa del total de financiación de los sectores no financieros","Financiación a las sociedades no financieras y los hogares e ISFLSH. Préstamos de entidades de crédito y titulizados fuera de balance. Contribución a la tasa del total","Financiación a los sectores no financieros. Valores distintos de acciones. Contribución a la tasa del total de financiación","Financiación a las sociedades no financieras y los hogares e ISFLSH. Préstamos del exterior. Contribución a la tasa del total"
"DESCRIPCIÓN DE LAS UNIDADES","Miles de Euros","Miles de Euros","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"DIC 1994",551065408,-11839660,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ENE 1995",552339712,1752712,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1995",553155840,1194930,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1995",590459983,4611490,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"ABR 1995",590920118,1307550,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1995",593554316,3182828,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1995",607092182,13676175,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
