"","IE_9_4.1","IE_9_4.2","IE_9_4.3","IE_9_4.4","IE_9_4.5","IE_9_4.6","IE_9_4.7","IE_9_4.8","IE_9_4.9","IE_9_4.10","IE_9_4.11","IE_9_4.12","IE_9_4.13","IE_9_4.14"
"NÚMERO SECUENCIAL",2533931,2533930,2628713,2533932,2533929,2533959,2534002,2628712,2533967,2533872,2533871,2534006,2535772,2533873
"DESCRIPCIÓN DE LA SERIE","Competitividad de España. IPP  . Frente a UE28 (UEM19).","Competitividad de España. IPC  . Frente a UE28 (UEM19).","Competitividad de España. Costes totales. Frente a ue28. mensual (UEM19)","Competitividad de España . IPX  . Frente a UE28 (UEM19).","Índice de posición efectiva nominal de España. Frente a UE28 (UEM19)","Competitividad de España.IPP relativo. Frente a ue28 (UEM19).","Competitividad de España.IPC relativo. Frente a ue28 (UEM19).","Competitividad de España.Costes laborales relativos unitarios totales.ue28.mensual (UEM19)","Competitividad de España .IPX relativo. Frente a ue28 (UEM19).","Competitividad de España  IPP  . Frente a UM19.","Competitividad de España  IPC  . Frente a UM19.","Competitividad de España. Costes totales. Frente a UM19. mensual.","Competitividad de España. Costes manufacturas. Frente a UM19. mensual.","Competitividad de España  IPX  . Frente a UM19."
"DESCRIPCIÓN DE LAS UNIDADES","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100","Base primer trimestre de 1999 = 100"
"MAR 1996","_","_",101.71,"_","_","_","_",97.34,"_","_","_",97.88,99.19,"_"
"ABR 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1996","_","_",101.62,"_","_","_","_",98.11,"_","_","_",98.24,102.47,"_"
"JUL 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1996","_","_",101.53,"_","_","_","_",98.82,"_","_","_",98.29,102.74,"_"
"OCT 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1996","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1996","_","_",100.62,"_","_","_","_",98.91,"_","_","_",98.28,102.27,"_"
"ENE 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAR 1997","_","_",98.24,"_","_","_","_",97.69,"_","_","_",96.80,100.28,"_"
"ABR 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"MAY 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"JUN 1997","_","_",99.07,"_","_","_","_",98.73,"_","_","_",98.15,102.66,"_"
"JUL 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"AGO 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"SEP 1997","_","_",99.17,"_","_","_","_",99.52,"_","_","_",98.98,104.86,"_"
"OCT 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"NOV 1997","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"DIC 1997","_","_",99.04,"_","_","_","_",99.27,"_","_","_",98.96,105.60,"_"
"ENE 1998",98.81,99.16,"_","_",99.37,99.44,99.79,"_",100.49,99.42,99.67,"_","_",100.07
"FEB 1998",98.96,98.59,"_","_",99.45,99.51,99.14,"_",100.51,99.55,99.14,"_","_",100.17
"MAR 1998",98.76,98.20,98.18,"_",99.10,99.66,99.08,98.86,100.56,99.67,99.07,98.58,101.28,100.12
"ABR 1998",98.58,97.95,"_","_",99.00,99.57,98.94,"_",100.56,99.52,98.89,"_","_",100.04
"MAY 1998",98.97,98.36,"_","_",99.45,99.51,98.90,"_",100.57,99.43,98.83,"_","_",99.98
"JUN 1998",98.98,98.23,99.14,"_",99.36,99.61,98.86,99.86,100.52,99.59,98.81,99.66,103.29,100.03
"JUL 1998",98.94,98.81,"_","_",99.38,99.56,99.43,"_",100.56,99.55,99.36,"_","_",100.04
"AGO 1998",99.24,99.33,"_","_",99.63,99.60,99.70,"_",100.57,99.65,99.66,"_","_",100.06
"SEP 1998",99.54,99.64,99.83,"_",100.01,99.53,99.63,100.16,100.54,99.61,99.70,100.17,103.22,100.09
"OCT 1998",99.98,100.00,"_","_",100.40,99.58,99.61,"_",100.59,99.65,99.67,"_","_",100.06
"NOV 1998",99.68,99.60,"_","_",100.13,99.55,99.47,"_",100.72,99.53,99.47,"_","_",99.99
"DIC 1998",99.88,99.95,99.95,"_",100.25,99.63,99.70,99.69,100.63,99.58,99.69,99.57,102.15,99.95
"ENE 1999",99.95,100.33,"_",99.85,100.20,99.75,100.13,"_",99.60,99.75,100.12,"_","_",99.74
"FEB 1999",100.20,99.93,"_",100.19,100.00,100.19,99.92,"_",100.14,100.20,99.89,"_","_",100.16
"MAR 1999",99.84,99.74,100.00,99.95,99.78,100.06,99.96,100.00,100.12,100.06,99.99,100.00,100.00,100.10
"ABR 1999",99.58,99.66,"_",99.48,99.68,99.90,99.98,"_",99.75,99.92,100.04,"_","_",99.68
"MAY 1999",99.67,99.42,"_",99.45,99.57,100.10,99.85,"_",99.83,100.12,99.96,"_","_",99.78
"JUN 1999",99.54,99.22,99.18,98.98,99.37,100.17,99.85,99.64,99.56,100.19,99.96,99.75,100.61,99.26
"JUL 1999",99.65,99.79,"_",99.78,99.45,100.20,100.35,"_",100.29,100.17,100.39,"_","_",100.15
"AGO 1999",99.85,100.22,"_",99.76,99.54,100.32,100.68,"_",100.17,100.27,100.75,"_","_",100.13
"SEP 1999",99.75,100.02,99.89,99.54,99.30,100.45,100.72,100.46,100.19,100.41,100.86,100.61,101.30,100.14
"OCT 1999",99.73,99.88,"_",99.93,99.36,100.37,100.53,"_",100.53,100.33,100.67,"_","_",100.39
"NOV 1999",99.21,99.75,"_",100.27,99.17,100.04,100.58,"_",101.06,99.93,100.73,"_","_",100.66
"DIC 1999",98.91,99.54,99.55,99.23,98.94,99.97,100.61,100.40,100.25,99.89,100.75,100.59,101.38,100.82
"ENE 2000",98.63,99.88,"_",98.91,98.79,99.84,101.10,"_",100.07,99.61,101.18,"_","_",100.22
"FEB 2000",98.83,99.59,"_",98.45,98.69,100.14,100.91,"_",99.71,99.87,101.02,"_","_",99.69
"MAR 2000",99.05,99.56,99.52,98.12,98.56,100.50,101.02,100.85,99.51,100.21,101.11,101.21,100.72,99.48
"ABR 2000",98.85,99.53,"_",98.56,98.33,100.53,101.22,"_",100.19,100.21,101.35,"_","_",99.75
"MAY 2000",98.82,99.57,"_",98.56,98.40,100.42,101.18,"_",100.11,100.05,101.35,"_","_",99.83
"JUN 2000",99.32,100.07,99.82,98.64,98.94,100.38,101.14,101.28,99.64,100.07,101.29,101.83,103.94,99.94
"JUL 2000",99.05,100.64,"_",97.88,98.84,100.21,101.82,"_",98.99,99.89,101.92,"_","_",99.14
"AGO 2000",98.75,100.56,"_",98.45,98.53,100.22,102.07,"_",99.88,99.83,102.15,"_","_",99.81
"SEP 2000",98.95,100.45,99.82,98.60,98.55,100.41,101.93,101.19,100.01,99.96,102.09,101.90,104.95,100.03
"OCT 2000",98.83,100.27,"_",99.80,98.26,100.58,102.05,"_",101.52,100.14,102.23,"_","_",101.23
"NOV 2000",98.90,100.55,"_",100.16,98.47,100.43,102.11,"_",101.66,100.01,102.29,"_","_",101.57
"DIC 2000",99.43,100.87,98.95,100.60,98.73,100.70,102.16,100.47,101.84,100.30,102.31,101.34,105.06,101.81
"ENE 2001",99.89,100.81,"_",99.77,99.27,100.62,101.55,"_",100.55,100.37,101.88,"_","_",100.86
"FEB 2001",100.25,100.38,"_",98.31,99.23,101.03,101.15,"_",99.11,100.73,101.46,"_","_",99.54
