"","IE_5_3.1","IE_5_3.2","IE_5_3.3","IE_5_3.4","IE_5_3.5","IE_5_3.6","IE_5_3.7","IE_5_3.8","IE_5_3.9","IE_5_3.10","IE_5_3.11","IE_5_3.12","IE_5_3.13","IE_5_3.14","IE_5_3.15","IE_5_3.16"
"NÚMERO SECUENCIAL",2174655,2174787,2174786,2174777,2174776,2174781,2174780,2174783,2174782,2174779,2174778,753621,812933,812934,812935,812938
"DESCRIPCIÓN DE LA SERIE","Indicadores de Coyuntura Industrial. IPRI. Año base 2010. Índice general","Indicadores de Coyuntura Industrial. IPRI. General. CNAE 2009. Base 2010. Tasa de variación intermensual","Indicadores de Coyuntura Industrial. IPRI. General. CNAE 2009. Base 2010. Tasa de variación interanual","Indicadores de Coyuntura Industrial. IPRI. Bienes de consumo. CNAE 2009. Base 2010. Tasa de variación intermensual","Indicadores de Coyuntura Industrial. IPRI. Bienes de consumo. CNAE 2009. Base 2010. Tasa de variación interanual","Indicadores de Coyuntura Industrial. IPRI. Bienes de equipo. CNAE 2009. Base 2010. Tasa de variación intermensual","Indicadores de Coyuntura Industrial. IPRI. Bienes de equipo. CNAE 2009. Base 2010. Tasa de variación interanual","Indicadores de Coyuntura Industrial. IPRI. Bienes intermedios. CNAE 2009. Base 2010. Tasa de variación intermensual","Indicadores de Coyuntura Industrial. IPRI. Bienes intermedios. CNAE 2009. Base 2010. Tasa de variación interanual","Indicadores de Coyuntura Industrial. IPRI. Energía. CNAE 2009. Base 2010. Tasa de variación intermensual","Indicadores de Coyuntura Industrial. IPRI. Energía. CNAE 2009. Base 2010. Tasa de variación interanual","IPRI.UEM.General.Tasa de variación interanual","IPRI.UEM.Bienes de consumo.Tasa de variación interanual","IPRI.UEM.Bienes de equipo.Tasa de variación interanual","IPRI.UEM.Bienes intermedios no energéticos.Tasa de variación interanual","IPRI.UEM.Energía.Tasa de variación interanual"
"DESCRIPCIÓN DE LAS UNIDADES","Céntimos de Base_2010 = 100","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"ENE 1975",13.6,"_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"FEB 1975",13.8,1.90,"_",0.65,"_",2.80,"_",1.08,"_",13.16,"_","_","_","_","_","_"
"MAR 1975",13.9,0.62,"_",0.65,"_",1.37,"_",0.00,"_",0.78,"_","_","_","_","_","_"
"ABR 1975",13.9,0.00,"_",0.65,"_",0.67,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"MAY 1975",14.1,1.23,"_",1.28,"_",0.67,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"JUN 1975",14.1,0.00,"_",0.63,"_",0.00,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"JUL 1975",14.2,0.61,"_",0.00,"_",0.66,"_",0.53,"_",0.00,"_","_","_","_","_","_"
"AGO 1975",14.2,0.00,"_",0.63,"_",1.98,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"SEP 1975",14.2,0.61,"_",0.63,"_",1.29,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"OCT 1975",14.3,0.60,"_",0.00,"_",1.91,"_",0.00,"_",0.00,"_","_","_","_","_","_"
"NOV 1975",14.3,0.00,"_",0.00,"_",0.00,"_",0.52,"_",0.00,"_","_","_","_","_","_"
"DIC 1975",14.6,1.79,"_",0.62,"_",0.00,"_",0.00,"_",14.61,"_","_","_","_","_","_"
"ENE 1976",14.8,1.18,8.86,1.85,7.85,1.88,13.99,1.06,3.23,0.00,30.70,"_","_","_","_","_"
"FEB 1976",14.9,1.16,8.08,1.21,8.44,1.23,12.25,2.08,4.25,0.00,15.50,"_","_","_","_","_"
"MAR 1976",15.2,1.72,9.25,1.20,9.03,0.61,11.41,2.04,6.38,2.02,16.92,"_","_","_","_","_"
"ABR 1976",15.6,2.82,12.34,1.19,9.62,0.00,10.67,5.50,12.23,0.00,16.92,"_","_","_","_","_"
"MAY 1976",15.9,1.65,12.81,1.17,9.49,0.60,10.59,2.37,14.89,0.66,17.69,"_","_","_","_","_"
"JUN 1976",16.1,1.08,14.03,1.16,10.07,4.19,15.23,1.39,16.49,0.00,17.69,"_","_","_","_","_"
"JUL 1976",16.2,1.07,14.54,0.57,10.70,0.57,15.13,1.37,17.46,0.00,17.69,"_","_","_","_","_"
"AGO 1976",16.3,0.53,15.15,0.57,10.63,1.14,14.19,0.45,17.99,0.00,17.69,"_","_","_","_","_"
"SEP 1976",16.3,0.00,14.46,1.13,11.18,0.00,12.73,0.00,17.99,0.00,17.69,"_","_","_","_","_"
"OCT 1976",16.6,1.58,15.57,2.24,13.67,1.70,12.50,1.34,19.58,0.00,17.69,"_","_","_","_","_"
"NOV 1976",16.7,1.03,16.76,1.09,14.90,0.00,12.50,0.00,18.95,0.65,18.46,"_","_","_","_","_"
"DIC 1976",16.7,0.00,14.71,1.08,15.43,0.55,13.12,0.00,18.95,0.00,3.36,"_","_","_","_","_"
"ENE 1977",17.2,2.56,16.28,3.21,16.96,5.53,17.18,1.33,19.27,0.00,3.36,"_","_","_","_","_"
"FEB 1977",17.4,1.50,16.66,1.04,16.77,2.09,18.18,1.75,18.88,0.64,4.03,"_","_","_","_","_"
"MAR 1977",18.0,3.45,18.65,3.59,19.53,3.08,21.08,2.58,19.50,6.45,8.55,"_","_","_","_","_"
"ABR 1977",18.5,2.86,18.69,1.48,19.88,1.49,22.89,3.77,17.54,5.46,14.47,"_","_","_","_","_"
"MAY 1977",18.7,0.93,17.84,0.98,19.66,1.47,23.95,1.21,16.21,0.58,14.38,"_","_","_","_","_"
"JUN 1977",18.9,0.91,17.64,1.45,20.00,0.49,19.54,0.79,15.53,0.00,14.38,"_","_","_","_","_"
"JUL 1977",19.2,1.82,18.52,1.43,21.02,5.28,25.14,0.79,14.86,0.00,14.38,"_","_","_","_","_"
"AGO 1977",19.8,3.12,21.58,3.76,24.86,1.37,25.43,1.96,16.59,10.28,26.14,"_","_","_","_","_"
"SEP 1977",20.2,1.73,23.69,1.35,25.14,0.90,26.56,2.31,19.28,1.04,27.45,"_","_","_","_","_"
"OCT 1977",20.5,1.70,23.83,2.24,25.14,2.68,27.78,1.88,19.91,0.00,27.45,"_","_","_","_","_"
"NOV 1977",20.8,1.26,24.11,1.74,25.95,1.31,29.44,1.11,21.24,0.51,27.27,"_","_","_","_","_"
"DIC 1977",20.9,0.41,24.61,0.00,24.60,0.43,29.28,0.37,21.68,0.00,27.27,"_","_","_","_","_"
"ENE 1978",21.1,1.24,23.00,1.71,22.80,2.14,25.13,1.09,21.40,0.00,27.27,"_","_","_","_","_"
"FEB 1978",21.3,0.81,22.17,1.27,23.08,0.42,23.08,0.72,20.17,0.00,26.46,"_","_","_","_","_"
"MAR 1978",21.5,0.80,19.04,1.25,20.30,0.83,20.40,0.71,17.99,0.00,18.79,"_","_","_","_","_"
"ABR 1978",21.7,1.20,17.13,1.23,20.00,1.65,20.59,1.42,15.32,0.00,12.64,"_","_","_","_","_"
"MAY 1978",22.1,1.98,18.35,0.81,19.81,2.44,21.74,2.80,17.13,0.00,12.00,"_","_","_","_","_"
"JUN 1978",22.4,1.16,18.64,1.21,19.52,1.98,23.55,1.70,18.18,0.00,12.00,"_","_","_","_","_"
"JUL 1978",22.6,0.76,17.41,0.40,18.31,0.39,17.81,1.01,18.43,0.00,12.00,"_","_","_","_","_"
"AGO 1978",22.7,0.38,14.29,0.40,14.48,0.00,16.22,0.00,16.15,0.00,1.56,"_","_","_","_","_"
"SEP 1978",22.8,0.76,13.19,0.79,13.84,1.55,16.96,0.99,14.66,0.51,1.03,"_","_","_","_","_"
"OCT 1978",23.1,1.13,12.55,1.17,12.66,3.05,17.39,0.98,13.65,0.00,1.03,"_","_","_","_","_"
"NOV 1978",23.3,0.74,11.98,0.39,11.16,0.74,16.74,0.33,12.78,0.00,0.51,"_","_","_","_","_"
"DIC 1978",23.3,0.37,11.94,0.77,12.02,0.37,16.67,0.65,13.09,0.00,0.51,"_","_","_","_","_"
"ENE 1979",23.9,2.21,13.01,2.30,12.66,3.30,17.99,1.93,14.03,0.00,0.51,"_","_","_","_","_"
"FEB 1979",24.2,1.44,13.71,1.50,12.92,1.06,18.75,2.21,15.71,0.51,1.02,"_","_","_","_","_"
"MAR 1979",24.4,0.71,13.60,1.11,12.76,0.70,18.59,1.23,16.31,0.51,1.53,"_","_","_","_","_"
"ABR 1979",24.6,1.05,13.44,1.46,13.01,0.35,17.07,0.92,15.74,0.00,1.53,"_","_","_","_","_"
"MAY 1979",24.8,0.70,12.02,1.08,13.31,0.69,15.08,0.91,13.61,0.00,1.53,"_","_","_","_","_"
"JUN 1979",25.2,1.73,12.64,0.71,12.75,3.10,16.35,0.60,12.37,6.53,8.16,"_","_","_","_","_"
"JUL 1979",25.8,2.04,14.07,0.71,13.10,0.33,16.28,0.90,12.25,9.90,18.88,"_","_","_","_","_"
"AGO 1979",26.2,1.67,15.53,1.05,13.84,1.67,18.22,1.77,14.24,3.86,23.47,"_","_","_","_","_"
"SEP 1979",26.6,1.64,16.54,1.74,14.90,2.29,19.08,1.74,15.08,0.00,22.84,"_","_","_","_","_"
"OCT 1979",26.9,0.97,16.36,1.71,15.50,0.32,15.93,1.14,15.26,0.41,23.35,"_","_","_","_","_"
"NOV 1979",27.0,0.32,15.87,0.34,15.44,0.64,15.81,0.84,15.86,0.00,23.35,"_","_","_","_","_"
