"","IE_1_2.1","IE_1_2.2","IE_1_2.3","IE_1_2.4","IE_1_2.5","IE_1_2.6","IE_1_2.7","IE_1_2.8","IE_1_2.9","IE_1_2.10","IE_1_2.11","IE_1_2.12","IE_1_2.13","IE_1_2.14","IE_1_2.15","IE_1_2.16"
"NÚMERO SECUENCIAL",2405709,2515588,2491515,2515589,2515590,2405531,2405710,2405711,2405712,2405714,2405715,2405716,2405717,2405719,2405499,2405698
"DESCRIPCIÓN DE LA SERIE","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos materiales. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos materiales. Construcción. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos materiales. Bienes de equipo y activos cultivados. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Formación bruta de capital fijo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Rama de Actividad, Productos e Inversiones:Activos inmateriales.. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Variación de existencias y adquisiciones menos cesiones de objetos valiosos.. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, contribución al crecimiento del PIB","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Exportaciones de bienes y servicios. Sector de Origen:Empleos. Resto del mundo. Sector de Destino:Recursos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Exportaciones de bienes. Sector de Origen:Empleos. Resto del mundo. Sector de Destino:Recursos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Exportaciones de servicios. Sector de Origen:Empleos. Resto del mundo. Sector de Destino:Recursos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Consumo final de no residentes en el Territorio Económico. Sector de Origen:Empleos. Resto del mundo. Sector de Destino:Recursos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Importaciones de bienes y servicios. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Sector de Destino:Recursos. Resto del mundo. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Importaciones de bienes. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Sector de Destino:Recursos. Resto del mundo. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Importaciones de servicios. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Sector de Destino:Recursos. Resto del mundo. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Consumo final de residentes en el Resto del Mundo. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Sector de Destino:Recursos. Resto del mundo. Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual.","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Demanda Nacional. Sector de Origen:Empleos. Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, contribución al crecimiento del PIB","Descripción Familia:Contabilidad nacional de España. Metodología:METODOLOGÍA DEL AÑO SEC2010. Año Base:Año base 2010. Valoración:Índices de volumen encadenados. Operaciones y otros Flujos:Producto interior bruto. Sector de Saldo:Economía en su conjunto (Total de la economía). Tipo de Transformación:Datos corregidos de efectos estacionales y de calendario, Tasa de variación interanual."
"DESCRIPCIÓN DE LAS UNIDADES","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje","Porcentaje"
"MAR 1996",3.13,2.98,-0.27,10.83,5.07,-0.00,6.86,5.62,9.84,8.49,4.97,4.38,7.63,9.35,2.17,2.54
"JUN 1996",2.22,2.04,-1.69,10.86,4.72,0.41,7.59,9.15,4.14,1.77,6.86,6.61,8.00,11.98,2.39,2.48
"SEP 1996",2.33,2.23,-1.40,10.61,3.58,-0.11,13.59,15.97,8.41,6.28,10.07,10.20,9.51,10.82,2.33,2.99
"DIC 1996",2.19,2.13,-0.79,8.62,3.07,-0.18,11.71,12.25,10.41,7.39,7.70,7.34,9.31,6.82,1.87,2.68
"MAR 1997",3.08,3.08,0.65,8.37,3.05,-0.15,8.78,9.68,6.71,5.83,8.18,8.00,8.99,-1.91,3.03,3.15
"JUN 1997",4.92,5.03,2.86,9.63,3.54,0.03,16.03,17.82,11.91,8.13,12.18,12.57,10.46,-1.25,2.67,3.50
"SEP 1997",5.15,5.28,2.43,11.20,3.50,-0.06,18.14,19.68,14.58,12.24,14.12,14.45,12.65,5.53,2.56,3.51
